11:57:28.489 [http-nio-8084-exec-1] WARN  c.i.layout.renderer.TableWidths - Table width is more than expected due to min width of cell(s).
11:57:41.199 [http-nio-8084-exec-2] WARN  c.i.layout.renderer.TableWidths - Table width is more than expected due to min width of cell(s).
12:00:09.594 [http-nio-8084-exec-6] WARN  c.i.layout.renderer.TableWidths - Table width is more than expected due to min width of cell(s).
13:46:36.594 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
13:46:36.624 [SpringApplicationShutdownHook] INFO  o.s.s.quartz.SchedulerFactoryBean - Shutting down Quartz Scheduler
13:46:36.624 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
13:46:36.624 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
13:46:36.624 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
13:46:36.629 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
13:46:36.631 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
13:46:36.635 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
13:46:59.331 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
13:46:59.385 [main] INFO  t.m.c.CardManagmentApplication - Starting CardManagmentApplication using Java 19.0.2 with PID 20556 (C:\Users\ahmed\OneDrive\Bureau\back end2105\versionfinalback\target\classes started by ahmed in C:\Users\ahmed\OneDrive\Bureau\back end2105\versionfinalback)
13:46:59.385 [main] INFO  t.m.c.CardManagmentApplication - No active profile set, falling back to 1 default profile: "default"
13:47:00.255 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
13:47:00.396 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 126 ms. Found 19 JPA repository interfaces.
13:47:01.048 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
13:47:01.055 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
13:47:01.056 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:47:01.057 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
13:47:01.157 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:47:01.158 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1715 ms
13:47:01.304 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
13:47:01.366 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.5.Final
13:47:01.369 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
13:47:01.528 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
13:47:01.668 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
13:47:01.688 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:47:01.833 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@39851c5
13:47:01.835 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13:47:01.858 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
13:47:02.237 [main] INFO  o.h.id.enhanced.TableGenerator - HHH000398: Explicit segment value for id generator [hibernate_sequences.sequence_name] suggested; using default [default]
13:47:02.245 [main] INFO  o.h.id.enhanced.TableGenerator - HHH000398: Explicit segment value for id generator [hibernate_sequences.sequence_name] suggested; using default [default]
13:47:02.246 [main] INFO  o.h.id.enhanced.TableGenerator - HHH000398: Explicit segment value for id generator [hibernate_sequences.sequence_name] suggested; using default [default]
